cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	S1	1	no matches		no matches		no matches		no matches		no matches		no matches	
6	S2	1	no matches		no matches		no matches		no matches		no matches		no matches	
19	S3	1	no matches		no matches		no matches		no matches		no matches		no matches	
22	S4	1	no matches		no matches		no matches		no matches		no matches		no matches	
24	S5	1	no matches		no matches		no matches		no matches		no matches		no matches	
25	30	2	Organic compounds	1.0	Organoheterocyclic compounds	0.3611111111111111	Benzene and substituted derivatives	0.25		0.3611111111111111	Tetrahydroisoquinolines	0.16666666666666666	Aromatic homomonocyclic compounds	0.25
33	30	2	Organic compounds	1.0	Organoheterocyclic compounds	0.3611111111111111	Benzene and substituted derivatives	0.25		0.3611111111111111	Tetrahydroisoquinolines	0.16666666666666666	Aromatic homomonocyclic compounds	0.25
28	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
483	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
675	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
880	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
1129	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
1167	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
1168	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
1169	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
1454	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
1457	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
2104	16	11	Organic compounds	1.0	Organic acids and derivatives	0.4454545454545455	Carboxylic acids and derivatives	0.39999999999999997	Amino acids, peptides, and analogues	0.39999999999999997	Dipeptides	0.20909090909090908	Aromatic homomonocyclic compounds	0.5909090909090909
35	S6	1	no matches		no matches		no matches		no matches		no matches		no matches	
38	S7	1	no matches		no matches		no matches		no matches		no matches		no matches	
49	S8	1	no matches		no matches		no matches		no matches		no matches		no matches	
56	S9	1	no matches		no matches		no matches		no matches		no matches		no matches	
59	S10	1	no matches		no matches		no matches		no matches		no matches		no matches	
67	S11	1	no matches		no matches		no matches		no matches		no matches		no matches	
72	S12	1	no matches		no matches		no matches		no matches		no matches		no matches	
73	S13	1	no matches		no matches		no matches		no matches		no matches		no matches	
74	S14	1	no matches		no matches		no matches		no matches		no matches		no matches	
79	S15	1	no matches		no matches		no matches		no matches		no matches		no matches	
82	S16	1	no matches		no matches		no matches		no matches		no matches		no matches	
84	S17	1	no matches		no matches		no matches		no matches		no matches		no matches	
85	S18	1	no matches		no matches		no matches		no matches		no matches		no matches	
105	S19	1	no matches		no matches		no matches		no matches		no matches		no matches	
117	S20	1	no matches		no matches		no matches		no matches		no matches		no matches	
128	S21	1	no matches		no matches		no matches		no matches		no matches		no matches	
134	S22	1	no matches		no matches		no matches		no matches		no matches		no matches	
137	93	2	Organic compounds	0.5	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbonyl compounds	0.25	Glycerone phosphates	0.25	Aliphatic acyclic compounds	0.5
138	93	2	Organic compounds	0.5	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbonyl compounds	0.25	Glycerone phosphates	0.25	Aliphatic acyclic compounds	0.5
141	52	4	Organic compounds	1.0	Organoheterocyclic compounds	0.7431818181818182	Indoles and derivatives	0.3	Amino acids, peptides, and analogues	0.18863636363636366	Indoles	0.13636363636363635	Aromatic heteropolycyclic compounds	0.5795454545454545
142	52	4	Organic compounds	1.0	Organoheterocyclic compounds	0.7431818181818182	Indoles and derivatives	0.3	Amino acids, peptides, and analogues	0.18863636363636366	Indoles	0.13636363636363635	Aromatic heteropolycyclic compounds	0.5795454545454545
285	52	4	Organic compounds	1.0	Organoheterocyclic compounds	0.7431818181818182	Indoles and derivatives	0.3	Amino acids, peptides, and analogues	0.18863636363636366	Indoles	0.13636363636363635	Aromatic heteropolycyclic compounds	0.5795454545454545
286	52	4	Organic compounds	1.0	Organoheterocyclic compounds	0.7431818181818182	Indoles and derivatives	0.3	Amino acids, peptides, and analogues	0.18863636363636366	Indoles	0.13636363636363635	Aromatic heteropolycyclic compounds	0.5795454545454545
146	S23	1	no matches		no matches		no matches		no matches		no matches		no matches	
147	S24	1	no matches		no matches		no matches		no matches		no matches		no matches	
149	S25	1	no matches		no matches		no matches		no matches		no matches		no matches	
150	S26	1	no matches		no matches		no matches		no matches		no matches		no matches	
152	S27	1	no matches		no matches		no matches		no matches		no matches		no matches	
170	S28	1	no matches		no matches		no matches		no matches		no matches		no matches	
174	S29	1	no matches		no matches		no matches		no matches		no matches		no matches	
176	S30	1	no matches		no matches		no matches		no matches		no matches		no matches	
177	S31	1	no matches		no matches		no matches		no matches		no matches		no matches	
191	S32	1	no matches		no matches		no matches		no matches		no matches		no matches	
